id,date,price,property_id,type,propertytype,street,streetnumber,suburb,flatnumber,postcode,state,bedrooms,bathrooms,carspaces,latitude,longitude,property_id-2,geom,area,streettype
1083402,07-05-2004,160000,4947395,sold,House,PUGH,50,AITKENVALE,,4814,QLD,3,1,2,-19.30396877,146.7670676,4947395,0101000020E610000055223FD18B586240C527B6E5D04D33C0,1142,ST
1083403,05-10-2021,325000,4947401,sold,House,PUGH,57,AITKENVALE,,4814,QLD,3,1,1,-19.30517619,146.7663457,4947401,0101000020E6100000617F65E7855862406191DB06204E33C0,676,ST
1083404,04-04-2017,215000,4947401,sold,House,PUGH,57,AITKENVALE,,4814,QLD,3,1,1,-19.30517619,146.7663457,4947401,0101000020E6100000617F65E7855862406191DB06204E33C0,676,ST
1083405,08-09-2023,500000,4947403,sold,House,PUGH,6,AITKENVALE,,4814,QLD,2,1,1,-19.29990051,146.7675322,4947403,0101000020E61000009FADC59F8F586240F480A247C64C33C0,2335,ST
890911,18-05-2019,542000,4947406,sold,House,JAGORA,56,ALBANY CREEK,,4035,QLD,3,1,2,-27.36275148,152.9651913,4947406,0101000020E61000007397EDD8E21E6340F42CEF47DD5C3BC0,952,DR
890912,18-12-2005,250000,4947406,sold,House,JAGORA,56,ALBANY CREEK,,4035,QLD,3,1,2,-27.36275148,152.9651913,4947406,0101000020E61000007397EDD8E21E6340F42CEF47DD5C3BC0,952,DR
890913,27-03-2014,485000,4947412,sold,House,JAGORA,73,ALBANY CREEK,,4035,QLD,3,2,2,-27.3638908,152.9644163,4947412,0101000020E61000005787927FDC1E6340B6508DF2275D3BC0,972,DR
890914,28-10-2013,510000,4947414,sold,House,JAGORA,80,ALBANY CREEK,,4035,QLD,4,2,2,-27.36472458,152.9627664,4947414,0101000020E61000002C518BFBCE1E6340B8250F975E5D3BC0,941,DR
890915,03-09-2008,499000,4947414,sold,House,JAGORA,80,ALBANY CREEK,,4035,QLD,4,2,2,-27.36472458,152.9627664,4947414,0101000020E61000002C518BFBCE1E6340B8250F975E5D3BC0,941,DR
890916,29-11-2000,217000,4947414,sold,House,JAGORA,80,ALBANY CREEK,,4035,QLD,4,2,2,-27.36472458,152.9627664,4947414,0101000020E61000002C518BFBCE1E6340B8250F975E5D3BC0,941,DR
890917,17-08-2023,875000,4947416,sold,House,JAGORA,84,ALBANY CREEK,,4035,QLD,4,2,2,-27.36508638,152.9626255,4947416,0101000020E6100000A1340ED4CD1E6340A6500E4D765D3BC0,936,DR
890918,13-06-2018,552000,4947416,sold,House,JAGORA,84,ALBANY CREEK,,4035,QLD,4,2,2,-27.36508638,152.9626255,4947416,0101000020E6100000A1340ED4CD1E6340A6500E4D765D3BC0,936,DR
890919,20-04-2007,345800,4947417,sold,House,JAGORA,86,ALBANY CREEK,,4035,QLD,4,2,1,-27.36531108,152.9625743,4947417,0101000020E6100000E0338E68CD1E63406977E506855D3BC0,973,DR
890920,20-12-2011,415000,4947420,sold,House,TANAGER,26,ALBANY CREEK,,4035,QLD,4,2,2,-27.34410975,152.9612661,4947420,0101000020E6100000E4842AB1C21E6340187C9A9317583BC0,1053,ST
890921,19-09-2003,317500,4947420,sold,House,TANAGER,26,ALBANY CREEK,,4035,QLD,4,2,2,-27.34410975,152.9612661,4947420,0101000020E6100000E4842AB1C21E6340187C9A9317583BC0,1053,ST
890922,11-02-2000,208000,4947420,sold,House,TANAGER,26,ALBANY CREEK,,4035,QLD,4,2,2,-27.34410975,152.9612661,4947420,0101000020E6100000E4842AB1C21E6340187C9A9317583BC0,1053,ST
890923,20-10-2022,825000,4947421,sold,House,TANAGER,27,ALBANY CREEK,,4035,QLD,4,2,2,-27.34461936,152.9603653,4947421,0101000020E6100000A85BF24FBB1E6340B9C470F938583BC0,994,ST
890924,10-01-1997,205000,4947421,sold,House,TANAGER,27,ALBANY CREEK,,4035,QLD,4,2,2,-27.34461936,152.9603653,4947421,0101000020E6100000A85BF24FBB1E6340B9C470F938583BC0,994,ST
890925,11-03-2020,515000,4947424,sold,House,JAGORA,95,ALBANY CREEK,,4035,QLD,3,1,2,-27.3653874,152.9631374,4947424,0101000020E6100000CC796B05D21E6340D75E55078A5D3BC0,967,DR
890926,23-04-2012,385000,4947424,sold,House,JAGORA,95,ALBANY CREEK,,4035,QLD,3,1,2,-27.3653874,152.9631374,4947424,0101000020E6100000CC796B05D21E6340D75E55078A5D3BC0,967,DR
890927,08-01-2003,215000,4947424,sold,House,JAGORA,95,ALBANY CREEK,,4035,QLD,3,1,2,-27.3653874,152.9631374,4947424,0101000020E6100000CC796B05D21E6340D75E55078A5D3BC0,967,DR
890928,15-01-2013,565000,4947425,sold,House,JAGORA,99,ALBANY CREEK,,4035,QLD,5,3,2,-27.36576445,152.963086,4947425,0101000020E6100000B442CB99D11E634018CA2EBDA25D3BC0,1001,DR
